% MP,res,freq (Hz),real(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),real(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H)
400,8e-07,1500,0.000640303958517761,1.3534757549705e-05,0.000479507246483131,-0.000211852161029942
400,8e-07,3000,0.000655567709643139,-4.26600220601054e-06,0.000358402311539582,-0.000172130832108849
400,8e-07,6000,0.0006503629783056,-3.75223395179438e-05,0.000303323402830588,-0.000120988251974363
400,8e-07,12000,0.000618468885743313,-6.60375805856505e-05,0.00026773137404861,-0.000101064918619473
400,8e-07,24000,0.000575588618006634,-7.46947455609303e-05,0.000226109360504376,-9.07766452689347e-05
400,8e-07,48000,0.000540111311491806,-7.22015150172861e-05,0.000185500476075786,-7.38409895158158e-05
400,1e-06,375,0.000622661628989758,5.07185656420994e-06,0.000666075111650701,-0.000101806278093615
400,1e-06,750,0.000627325971181013,1.2144614137429e-05,0.00060528428528813,-0.000170620560814681
400,1e-06,1500,0.000642382128630425,1.37827498136511e-05,0.000479532523340624,-0.000212019592600863
400,1e-06,3000,0.000657647911957057,-4.18312080336168e-06,0.00035835560133182,-0.000172195801604403
400,1e-06,6000,0.000652399326197084,-3.74718155795311e-05,0.000303296551643177,-0.000120993734113704
400,1e-06,12000,0.000620565621201621,-6.59761854563423e-05,0.0002677237623768,-0.00010106191423503
400,1e-06,24000,0.000577758520309191,-7.47700000982344e-05,0.000226106411627183,-9.07755833411876e-05
400,1e-06,48000,0.000542159382217905,-7.24330132890701e-05,0.000185498042691324,-7.38399722164601e-05
500,2e-07,375,0.000610716522465104,1.0034482030823e-06,0.000664301945211171,-0.000101413128770561
500,2e-07,750,0.000613569080648729,9.41940934669339e-06,0.00060411873124911,-0.000169512144141201
500,2e-07,1500,0.000627811576080275,1.29454043761853e-05,0.000479412796434344,-0.000210921055655018
500,2e-07,3000,0.000643685011951992,-3.59852096643082e-06,0.000358694177362101,-0.000171806579055397
500,2e-07,6000,0.000639459399830775,-3.67302271006688e-05,0.0003034631918992,-0.000120980244638081
500,2e-07,12000,0.000608023449585597,-6.57837772068984e-05,0.000267764369448838,-0.000101083157757188
500,2e-07,24000,0.000564903138960791,-7.50253935988829e-05,0.000226122595779042,-9.07802115845302e-05
500,2e-07,48000,0.000528302379730336,-7.24921586092755e-05,0.000185514856144552,-7.38441189940562e-05
500,4e-07,375,0.000617100899454123,2.92410282096852e-06,0.000665152414558967,-0.000101703443287194
500,4e-07,750,0.000620974111385699,1.06846595683599e-05,0.000604691920890725,-0.000170085623295842
500,4e-07,1500,0.000635569312171285,1.30719144280316e-05,0.000479449314381901,-0.000211492684034502
500,4e-07,3000,0.000650893647509758,-4.26074107879356e-06,0.000358507824473331,-0.000171989337709486
500,4e-07,6000,0.000645930668616232,-3.74096315687523e-05,0.000303382173853029,-0.000120978289242652
500,4e-07,12000,0.00061414824654629,-6.60071403134715e-05,0.000267747044344882,-0.000101071790740239
500,4e-07,24000,0.000571381092679849,-7.48289529640832e-05,0.000226115111827003,-9.0778549420605e-05
500,4e-07,48000,0.000535656937067896,-7.28441030126743e-05,0.000185506017701342,-7.38417624721302e-05
500,6e-07,375,0.000620362470850796,4.10531409242919e-06,0.000665659978464843,-0.000101824610938251
500,6e-07,750,0.000624764135531337,1.15400066814511e-05,0.000605018797612688,-0.000170389009129148
500,6e-07,1500,0.000639694985445986,1.34406084041823e-05,0.000479496438291285,-0.000211808671817631
500,6e-07,3000,0.000654920662809361,-4.30904270372885e-06,0.000358412198936494,-0.000172107367920546
500,6e-07,6000,0.00064973519472766,-3.75362863539296e-05,0.00030333210620636,-0.000120983821734445
500,6e-07,12000,0.000617884145412777,-6.6059664920181e-05,0.000267734687115604,-0.000101065315134509
500,6e-07,24000,0.00057512820241346,-7.48311485213032e-05,0.000226110386215093,-9.07770475286457e-05
500,6e-07,48000,0.000539616768344572,-7.28402437886522e-05,0.000185501227228046,-7.38405291673475e-05
500,8e-07,375,0.000622453053757083,4.97177027422636e-06,0.000666012904853069,-0.000101865834421571
500,8e-07,750,0.000627244717457534,1.21655805800939e-05,0.000605255064318115,-0.000170596374206899
500,8e-07,1500,0.000642398354123485,1.37877673648093e-05,0.000479536338839941,-0.000212021459918642
500,8e-07,3000,0.000657630460863332,-4.21498736734285e-06,0.000358351153553462,-0.000172193182419027
500,8e-07,6000,0.000652370083366242,-3.74901980740827e-05,0.000303296731406338,-0.000120990871297541
500,8e-07,12000,0.00062056081613581,-6.59865041002254e-05,0.00026772489571544,-0.000101061208106032
500,8e-07,24000,0.000577856707109305,-7.48414649394667e-05,0.000226106737071675,-9.07757710271136e-05
500,8e-07,48000,0.000542342028344021,-7.28792282733419e-05,0.000185497934465937,-7.38395322173931e-05
500,1e-06,375,0.0006239558629337,5.65439158234012e-06,0.000666271749684506,-0.000101871630053602
500,1e-06,750,0.000629056683159223,1.26716467775364e-05,0.000605446805478397,-0.000170747637596029
500,1e-06,1500,0.000644365262717729,1.40825316819142e-05,0.000479568677310271,-0.00021218119167492
500,1e-06,3000,0.000659632541328703,-4.08103740032136e-06,0.000358307760250039,-0.000172259995761571
500,1e-06,6000,0.000654352210055904,-3.7381718391053e-05,0.000303269816975315,-0.000120997921136073
500,1e-06,12000,0.000622622857284722,-6.5855145299796e-05,0.000267716811401379,-0.000101058444328018
500,1e-06,24000,0.000580014977630504,-7.4815582060097e-05,0.000226103705982099,-9.07747090035064e-05
500,1e-06,48000,0.000544452119752001,-7.29478785215993e-05,0.000185495390519798,-7.38386638652692e-05
600,2e-07,375,0.000612520633590777,1.48987279313199e-06,0.00066453228914926,-0.000101499996891386
600,2e-07,750,0.000615607239787911,9.65851632723549e-06,0.000604253542141886,-0.000169680958376643
600,2e-07,1500,0.000629868560493454,1.28778806111641e-05,0.000479402275565192,-0.000211062742393692
600,2e-07,3000,0.000645587509635686,-3.85020309495904e-06,0.000358644285267301,-0.000171843368286917
600,2e-07,6000,0.000641236298593311,-3.70596562197023e-05,0.000303444077716653,-0.000120976051831096
600,2e-07,12000,0.000609733887191641,-6.63176907501684e-05,0.000267761538968491,-0.000101079140864569
600,2e-07,24000,0.000566304319733857,-7.59913735864367e-05,0.000226121239884328,-9.07790759295865e-05
600,2e-07,48000,0.000528881901764062,-7.37061644266555e-05,0.000185514385403399,-7.38425040945964e-05
600,4e-07,375,0.000618559476167332,3.46802134319575e-06,0.000665359449444027,-0.000101749673050695
600,4e-07,750,0.000622742989820025,1.1050863020303e-05,0.000604841662178901,-0.000170230393546654
600,4e-07,1500,0.000637442422966452,1.31757029273445e-05,0.000479456628379145,-0.000211635808788546
600,4e-07,3000,0.000652688184387903,-4.3272107419673e-06,0.000358461317302782,-0.000172034209876864
600,4e-07,6000,0.000647650440316501,-3.75002953610319e-05,0.000303361492286864,-0.000120977651890259
600,4e-07,12000,0.00061593064252272,-6.61492379452868e-05,0.000267742643144272,-0.000101068343865235
600,4e-07,24000,0.000573208231821608,-7.53331044412402e-05,0.000226113169991051,-9.07776035567245e-05
600,4e-07,48000,0.000537069343750824,-7.38932707941729e-05,0.00018550454869733,-7.38401306788912e-05
600,6e-07,375,0.000621621438670608,4.62673401983258e-06,0.000665839903368821,-0.00010186254005131
600,6e-07,750,0.000626348769178364,1.19604869411469e-05,0.000605170642552473,-0.000170511251597105
600,6e-07,1500,0.000641429648611089,1.36199894445172e-05,0.000479514006980006,-0.000211948342521696
600,6e-07,3000,0.000656621027595787,-4.28677503255506e-06,0.000358369206208937,-0.00017215633365982
600,6e-07,6000,0.000651389241570107,-3.75262002742175e-05,0.000303310814863748,-0.000120985185727262
600,6e-07,12000,0.000619623226367918,-6.60494925094087e-05,0.000267729625025471,-0.000101062235741763
600,6e-07,24000,0.000577023484809262,-7.50684143274206e-05,0.000226108234515283,-9.0776241536454e-05
600,6e-07,48000,0.000541343148248633,-7.36318930377286e-05,0.00018549933018857,-7.38390882627076e-05
600,8e-07,375,0.000623578830127874,5.47079967739784e-06,0.000666177075046139,-0.000101905385568322
600,8e-07,750,0.000628684776922038,1.26027159119863e-05,0.000605400209475541,-0.000170701515994014
600,8e-07,1500,0.000644027932259499,1.40122511586044e-05,0.000479561520050739,-0.000212156701156547
