permeability,resistivity,H_imag_375,H_imag_750,H_imag_1500,H_imag_3000,H_imag_6000,H_imag_12000,H_imag_24000,H_imag_48000,H_real_375,H_real_750,H_real_1500,H_real_3000,H_real_6000,H_real_12000,H_real_24000,H_real_48000
600,8e-07,0.00010737618524571984,0.0001833042319060003,0.00022616895231515139,0.00016810614150851623,8.357422645704579e-05,3.516522866034789e-05,1.5848758868602494e-05,3.7204474561739723e-07,-4.259824491826506e-05,2.3284567446496952e-05,0.00016446641220876,0.00030093919749274906,0.00035068986743620897,0.000354535181179696,0.000353637605204436,0.00035870920294391105
600,1e-06,0.00010804215236212745,0.0001839486054581179,0.0002266504054570137,0.000168344179393872,8.373256820706131e-05,3.534916593847091e-05,1.5968611212817006e-05,4.5816849831781183e-07,-4.1455180193935e-05,2.4804547272616996e-05,0.00016630766163180298,0.000302913643839029,0.000352646705647294,0.00035656392100253797,0.00035577311082245406,0.00036087927652834605
700,2e-07,0.00010347662691343753,0.00017970526256858949,0.00022404286690827111,0.0001678517023337364,8.36462845570243e-05,3.4280328106258096e-05,1.3915989802835795e-05,-9.067338254225004e-07,-5.074436093446496e-05,1.2903328910884946e-05,0.000152173701447743,0.00028858838013081294,0.00033933185175493,0.000343434631011228,0.00034134631918026096,0.000343764587062419
700,4e-07,0.00010571254131493811,0.0001817173683538889,0.0002250429857897034,0.00016772444391919143,8.3435284930401e-05,3.481105908226819e-05,1.49911426670215e-05,-9.955881619523013e-07,-4.5797064931287e-05,1.9207181298334995e-05,0.000159507141473162,0.00029574710158067504,0.00034575108236854204,0.00034971626927033197,0.00034865636506584396,0.000352734416752726
700,6e-07,0.00010695227619272965,0.0001829283331755805,0.00022585219533551048,0.00016795694991734723,8.35022003465988e-05,3.5049556938430794e-05,1.5505003662473707e-05,-5.034890377093946e-07,-4.336262529638208e-05,2.2332232854088024e-05,0.00016330743733493304,0.00029967920265341,0.00034946833751402,0.00035336800575968,0.0003525418249866741,0.00035730599194979404
700,8e-07,0.0001078132515274225,0.00018376119735183228,0.0002264802512525293,0.00016823556849988197,8.366574797271929e-05,3.52754025680796e-05,1.579343565314079e-05,-1.5234790501981023e-07,-4.183314844668996e-05,2.432457127615501e-05,0.00016576255153200498,0.00030229225970991797,0.00035202094521447,0.000355957417851544,0.00035525046835323704,0.000360299191026866
700,1e-06,0.00010846074769216819,0.0001843937515090579,0.00022697979802194452,0.0001685011328371276,8.38560192867177e-05,3.55048994874533e-05,1.600422571201381e-05,7.81041144889028e-08,-4.076178191018899e-05,2.575835674460496e-05,0.00016752735333671096,0.000304204656380917,0.00035392834382113204,0.00035794152528426706,0.00035735441330660204,0.000362524253271078
800,2e-07,0.00010389781739424086,0.0001800346926043954,0.0002241587982699555,0.00016775663361942618,8.34162931940434e-05,3.3843001432876e-05,1.3121787070190501e-05,-1.8054348716371954e-06,-4.969369041167397e-05,1.4199694719896957e-05,0.00015361974954508195,0.00029000684657310295,0.00034067561635821205,0.000344702500331733,0.0003423258318565371,0.00034403346355286503
800,4e-07,0.00010613505506535417,0.0001820962996534541,0.0002252578061581795,0.00016776435415094104,8.34225295646147e-05,3.4723289533015604e-05,1.45775214664626e-05,-1.8505517565475056e-06,-4.496731803168197e-05,2.029119710183797e-05,0.00016078148311076095,0.00029703464872758603,0.00034700856503867497,0.0003510481197126449,0.00035001038766582695,0.00035371683425451
800,6e-07,0.00010734727583351545,0.00018331932200144548,0.000226106362539311,0.00016805105920583618,8.35627764245323e-05,3.5100556395787705e-05,1.5323358400437097e-05,-1.1488686889900003e-06,-4.2660335391541066e-05,2.3289029967819906e-05,0.000164468023532788,0.000300879063147638,0.00035065053891817797,0.000354642759343118,0.0003539592589374,0.000358563873348495
800,8e-07,0.00010818069623626153,0.00018415255470113939,0.00022675368769367339,0.00016836137946945484,8.37650495641621e-05,3.539319292414949e-05,1.57523523400686e-05,-6.276632055616008e-07,-4.1207605948049035e-05,2.518654681248902e-05,0.00016684006491895202,0.000303425416664195,0.000353145651134892,0.00035717685410850496,0.00035665501629657996,0.000361676412578901
800,1e-06,0.00010880922826056652,0.0001847761260999125,0.0002272652518738775,0.00016864778863103178,8.397986066979539e-05,3.5661702942055e-05,1.6050517734795394e-05,-2.64658469215903e-07,-4.019141134139505e-05,2.654628982879802e-05,0.00016854004898367802,0.00030528325777715395,0.00035500653679451205,0.00035911515018443094,0.00035872637252609604,0.00036395399527243806
900,2e-07,0.00010426779168235431,0.00018033321004266728,0.00022428071995009652,0.00016769167543261972,8.32132478933264e-05,3.344109419075889e-05,1.2392721360038894e-05,-2.582846170292712e-06,-4.8803045294973976e-05,1.5306774726440097e-05,0.000154868350139336,0.00029125137032767897,0.00034186396877648295,0.000345815912711467,0.00034315978435888096,0.00034421190542717597
900,4e-07,0.00010650100414585689,0.0001824302967698502,0.00022545682395936319,0.0001678174256066575,8.342737116805599e-05,3.46467385216869e-05,1.4196045868961296e-05,-2.632449661890308e-06,-4.426495213611498e-05,2.1211104028071026e-05,0.000161870984859878,0.00029814650064232106,0.000348109493807628,0.00035222480542003605,0.000351199788951433,0.000354551195546201
900,6e-07,0.00010769067573898199,0.00018365944563761012,0.0002263354776032802,0.00016814713154238636,8.36326560022171e-05,3.515706752918571e-05,1.5155970832496696e-05,-1.7410441258541978e-06,-4.2068631803859045e-05,2.4099549899542e-05,0.00016545679469054197,0.00030190823485130305,0.000351675486659121,0.000355763576072206,0.000355209976639144,0.00035966031192996
900,8e-07,0.0001084978453234197,0.00018449217719761202,0.00022699683703156508,0.0001684817073697601,8.386682920359979e-05,3.551205351085439e-05,1.5717416003973713e-05,-1.0634290386346025e-06,-4.068382513071399e-05,2.591722742206e-05,0.000167755642554785,0.00030439410928733503,0.00035411494414411005,0.000358241789527134,0.000357895284442256,0.00036288483975847603
